"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Adams County, IL"	"17001"	"2017"	"2017"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	30	66234	45.3
	"Adams County, IL"	"17001"	"2017"	"2017"	"Chronic kidney disease, stage 5"	"N18.5"	11	66234	Unreliable
	"Adams County, IL"	"17001"	"2018"	"2018"	"Septicaemia, unspecified"	"A41.9"	25	65691	38.1
	"Adams County, IL"	"17001"	"2018"	"2018"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	11	65691	Unreliable
	"Adams County, IL"	"17001"	"2018"	"2018"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	49	65691	74.6
	"Adams County, IL"	"17001"	"2018"	"2018"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	11	65691	Unreliable
	"Adams County, IL"	"17001"	"2018"	"2018"	"Malignant neoplasm without specification of site"	"C80"	10	65691	Unreliable
	"Adams County, IL"	"17001"	"2018"	"2018"	"Unspecified dementia"	"F03"	51	65691	77.6
	"Adams County, IL"	"17001"	"2018"	"2018"	"Parkinson disease"	"G20"	17	65691	Unreliable
	"Adams County, IL"	"17001"	"2018"	"2018"	"Alzheimer disease, unspecified"	"G30.9"	48	65691	73.1
	"Adams County, IL"	"17001"	"2018"	"2018"	"Essential (primary) hypertension"	"I10"	15	65691	Unreliable
	"Adams County, IL"	"17001"	"2018"	"2018"	"Acute myocardial infarction, unspecified"	"I21.9"	36	65691	54.8
	"Adams County, IL"	"17001"	"2018"	"2018"	"Atherosclerotic heart disease"	"I25.1"	48	65691	73.1
	"Adams County, IL"	"17001"	"2018"	"2018"	"Congestive heart failure"	"I50.0"	24	65691	36.5
	"Adams County, IL"	"17001"	"2018"	"2018"	"Stroke, not specified as haemorrhage or infarction"	"I64"	22	65691	33.5
	"Adams County, IL"	"17001"	"2018"	"2018"	"Pneumonia, unspecified"	"J18.9"	14	65691	Unreliable
	"Adams County, IL"	"17001"	"2018"	"2018"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	37	65691	56.3
	"Adams County, IL"	"17001"	"2018"	"2018"	"Pneumonitis due to food and vomit"	"J69.0"	10	65691	Unreliable
	"Adams County, IL"	"17001"	"2018"	"2018"	"Respiratory failure, unspecified"	"J96.9"	11	65691	Unreliable
	"Adams County, IL"	"17001"	"2018"	"2018"	"Chronic kidney disease, stage 5"	"N18.5"	10	65691	Unreliable
	"Adams County, IL"	"17001"	"2019"	"2019"	"Septicaemia, unspecified"	"A41.9"	17	65435	Unreliable
	"Adams County, IL"	"17001"	"2019"	"2019"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	22	65435	33.6
	"Adams County, IL"	"17001"	"2019"	"2019"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	39	65435	59.6
	"Adams County, IL"	"17001"	"2019"	"2019"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	17	65435	Unreliable
	"Adams County, IL"	"17001"	"2019"	"2019"	"Malignant neoplasm without specification of site"	"C80"	10	65435	Unreliable
	"Adams County, IL"	"17001"	"2019"	"2019"	"Unspecified dementia"	"F03"	66	65435	100.9
	"Adams County, IL"	"17001"	"2019"	"2019"	"Alzheimer disease, unspecified"	"G30.9"	36	65435	55.0
	"Adams County, IL"	"17001"	"2019"	"2019"	"Essential (primary) hypertension"	"I10"	11	65435	Unreliable
	"Adams County, IL"	"17001"	"2019"	"2019"	"Acute myocardial infarction, unspecified"	"I21.9"	24	65435	36.7
	"Adams County, IL"	"17001"	"2019"	"2019"	"Atherosclerotic heart disease"	"I25.1"	34	65435	52.0
	"Adams County, IL"	"17001"	"2019"	"2019"	"Cardiac arrest, unspecified"	"I46.9"	11	65435	Unreliable
	"Adams County, IL"	"17001"	"2019"	"2019"	"Congestive heart failure"	"I50.0"	17	65435	Unreliable
	"Adams County, IL"	"17001"	"2019"	"2019"	"Stroke, not specified as haemorrhage or infarction"	"I64"	17	65435	Unreliable
	"Adams County, IL"	"17001"	"2019"	"2019"	"Pneumonia, unspecified"	"J18.9"	12	65435	Unreliable
	"Adams County, IL"	"17001"	"2019"	"2019"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	38	65435	58.1
	"Adams County, IL"	"17001"	"2019"	"2019"	"Chronic kidney disease, stage 5"	"N18.5"	10	65435	Unreliable
	"Alexander County, IL"	"17003"	"2016"	"2016"	"Acute myocardial infarction, unspecified"	"I21.9"	17	6478	Unreliable
	"Alexander County, IL"	"17003"	"2017"	"2017"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	10	6315	Unreliable
	"Alexander County, IL"	"17003"	"2019"	"2019"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	11	5761	Unreliable
	"Bond County, IL"	"17005"	"2016"	"2016"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	14	16824	Unreliable
	"Bond County, IL"	"17005"	"2016"	"2016"	"Acute myocardial infarction, unspecified"	"I21.9"	19	16824	Unreliable
	"Bond County, IL"	"17005"	"2016"	"2016"	"Atherosclerotic heart disease"	"I25.1"	16	16824	Unreliable
	"Bond County, IL"	"17005"	"2017"	"2017"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	10	16948	Unreliable
	"Bond County, IL"	"17005"	"2017"	"2017"	"Acute myocardial infarction, unspecified"	"I21.9"	19	16948	Unreliable
	"Bond County, IL"	"17005"	"2017"	"2017"	"Atherosclerotic heart disease"	"I25.1"	12	16948	Unreliable
	"Bond County, IL"	"17005"	"2018"	"2018"	"Acute myocardial infarction, unspecified"	"I21.9"	11	16630	Unreliable
	"Bond County, IL"	"17005"	"2019"	"2019"	"Acute myocardial infarction, unspecified"	"I21.9"	17	16426	Unreliable
	"Bond County, IL"	"17005"	"2019"	"2019"	"Atherosclerotic heart disease"	"I25.1"	13	16426	Unreliable
	"Boone County, IL"	"17007"	"2016"	"2016"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	27	53503	50.5
	"Boone County, IL"	"17007"	"2016"	"2016"	"Unspecified dementia"	"F03"	15	53503	Unreliable
	"Boone County, IL"	"17007"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	16	53503	Unreliable
	"Boone County, IL"	"17007"	"2016"	"2016"	"Acute myocardial infarction, unspecified"	"I21.9"	18	53503	Unreliable
	"Boone County, IL"	"17007"	"2016"	"2016"	"Atherosclerotic heart disease"	"I25.1"	13	53503	Unreliable
	"Boone County, IL"	"17007"	"2016"	"2016"	"Congestive heart failure"	"I50.0"	11	53503	Unreliable
	"Boone County, IL"	"17007"	"2016"	"2016"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	28	53503	52.3
	"Boone County, IL"	"17007"	"2017"	"2017"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	11	53513	Unreliable
	"Boone County, IL"	"17007"	"2017"	"2017"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	23	53513	43.0
	"Boone County, IL"	"17007"	"2017"	"2017"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	10	53513	Unreliable
	"Boone County, IL"	"17007"	"2017"	"2017"	"Unspecified dementia"	"F03"	22	53513	41.1
	"Boone County, IL"	"17007"	"2017"	"2017"	"Alzheimer disease, unspecified"	"G30.9"	17	53513	Unreliable
	"Boone County, IL"	"17007"	"2017"	"2017"	"Acute myocardial infarction, unspecified"	"I21.9"	12	53513	Unreliable
	"Boone County, IL"	"17007"	"2017"	"2017"	"Atherosclerotic heart disease"	"I25.1"	26	53513	48.6
	"Boone County, IL"	"17007"	"2017"	"2017"	"Congestive heart failure"	"I50.0"	11	53513	Unreliable
	"Boone County, IL"	"17007"	"2017"	"2017"	"Heart failure, unspecified"	"I50.9"	10	53513	Unreliable
	"Boone County, IL"	"17007"	"2017"	"2017"	"Stroke, not specified as haemorrhage or infarction"	"I64"	13	53513	Unreliable
	"Boone County, IL"	"17007"	"2017"	"2017"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	21	53513	39.2
	"Boone County, IL"	"17007"	"2018"	"2018"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	11	53577	Unreliable
	"Boone County, IL"	"17007"	"2018"	"2018"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	24	53577	44.8
	"Boone County, IL"	"17007"	"2018"	"2018"	"Unspecified dementia"	"F03"	25	53577	46.7
	"Boone County, IL"	"17007"	"2018"	"2018"	"Alzheimer disease, unspecified"	"G30.9"	17	53577	Unreliable
	"Boone County, IL"	"17007"	"2018"	"2018"	"Acute myocardial infarction, unspecified"	"I21.9"	23	53577	42.9
	"Boone County, IL"	"17007"	"2018"	"2018"	"Atherosclerotic heart disease"	"I25.1"	24	53577	44.8
	"Boone County, IL"	"17007"	"2018"	"2018"	"Congestive heart failure"	"I50.0"	17	53577	Unreliable
	"Boone County, IL"	"17007"	"2018"	"2018"	"Heart failure, unspecified"	"I50.9"	12	53577	Unreliable
	"Boone County, IL"	"17007"	"2018"	"2018"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	20	53577	37.3
	"Boone County, IL"	"17007"	"2019"	"2019"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	19	53544	Unreliable
	"Boone County, IL"	"17007"	"2019"	"2019"	"Unspecified dementia"	"F03"	18	53544	Unreliable
	"Boone County, IL"	"17007"	"2019"	"2019"	"Alzheimer disease, unspecified"	"G30.9"	24	53544	44.8
	"Boone County, IL"	"17007"	"2019"	"2019"	"Atherosclerotic heart disease"	"I25.1"	17	53544	Unreliable
	"Boone County, IL"	"17007"	"2019"	"2019"	"Congestive heart failure"	"I50.0"	18	53544	Unreliable
	"Boone County, IL"	"17007"	"2019"	"2019"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	17	53544	Unreliable
	"Bureau County, IL"	"17011"	"2016"	"2016"	"Septicaemia, unspecified"	"A41.9"	12	33359	Unreliable
	"Bureau County, IL"	"17011"	"2016"	"2016"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	26	33359	77.9
	"Bureau County, IL"	"17011"	"2016"	"2016"	"Unspecified dementia"	"F03"	16	33359	Unreliable
	"Bureau County, IL"	"17011"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	18	33359	Unreliable
	"Bureau County, IL"	"17011"	"2016"	"2016"	"Acute myocardial infarction, unspecified"	"I21.9"	46	33359	137.9
	"Bureau County, IL"	"17011"	"2016"	"2016"	"Atherosclerotic heart disease"	"I25.1"	10	33359	Unreliable
	"Bureau County, IL"	"17011"	"2016"	"2016"	"Congestive heart failure"	"I50.0"	26	33359	77.9
	"Bureau County, IL"	"17011"	"2016"	"2016"	"Stroke, not specified as haemorrhage or infarction"	"I64"	18	33359	Unreliable
	"Bureau County, IL"	"17011"	"2016"	"2016"	"Pneumonia, unspecified"	"J18.9"	11	33359	Unreliable
	"Bureau County, IL"	"17011"	"2016"	"2016"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	29	33359	86.9
	"Bureau County, IL"	"17011"	"2017"	"2017"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	10	33243	Unreliable
	"Bureau County, IL"	"17011"	"2017"	"2017"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	27	33243	81.2
	"Bureau County, IL"	"17011"	"2017"	"2017"	"Acute myocardial infarction, unspecified"	"I21.9"	38	33243	114.3
	"Bureau County, IL"	"17011"	"2017"	"2017"	"Atherosclerotic heart disease"	"I25.1"	14	33243	Unreliable
	"Bureau County, IL"	"17011"	"2017"	"2017"	"Congestive heart failure"	"I50.0"	18	33243	Unreliable
	"Bureau County, IL"	"17011"	"2017"	"2017"	"Stroke, not specified as haemorrhage or infarction"	"I64"	15	33243	Unreliable
	"Bureau County, IL"	"17011"	"2017"	"2017"	"Pneumonia, unspecified"	"J18.9"	15	33243	Unreliable
	"Bureau County, IL"	"17011"	"2017"	"2017"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	23	33243	69.2
	"Bureau County, IL"	"17011"	"2018"	"2018"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	20	32993	60.6
	"Bureau County, IL"	"17011"	"2018"	"2018"	"Unspecified dementia"	"F03"	16	32993	Unreliable
	"Bureau County, IL"	"17011"	"2018"	"2018"	"Acute myocardial infarction, unspecified"	"I21.9"	47	32993	142.5
	"Bureau County, IL"	"17011"	"2018"	"2018"	"Atherosclerotic heart disease"	"I25.1"	16	32993	Unreliable
	"Bureau County, IL"	"17011"	"2018"	"2018"	"Congestive heart failure"	"I50.0"	13	32993	Unreliable
	"Bureau County, IL"	"17011"	"2018"	"2018"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	22	32993	66.7
	"Bureau County, IL"	"17011"	"2019"	"2019"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	25	32628	76.6
	"Bureau County, IL"	"17011"	"2019"	"2019"	"Unspecified dementia"	"F03"	23	32628	70.5
	"Bureau County, IL"	"17011"	"2019"	"2019"	"Alzheimer disease, unspecified"	"G30.9"	14	32628	Unreliable
	"Bureau County, IL"	"17011"	"2019"	"2019"	"Acute myocardial infarction, unspecified"	"I21.9"	35	32628	107.3
	"Bureau County, IL"	"17011"	"2019"	"2019"	"Atherosclerotic heart disease"	"I25.1"	14	32628	Unreliable
	"Bureau County, IL"	"17011"	"2019"	"2019"	"Congestive heart failure"	"I50.0"	19	32628	Unreliable
	"Bureau County, IL"	"17011"	"2019"	"2019"	"Heart failure, unspecified"	"I50.9"	10	32628	Unreliable
	"Bureau County, IL"	"17011"	"2019"	"2019"	"Stroke, not specified as haemorrhage or infarction"	"I64"	15	32628	Unreliable
	"Bureau County, IL"	"17011"	"2019"	"2019"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	17	32628	Unreliable
	"Carroll County, IL"	"17015"	"2016"	"2016"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	11	14539	Unreliable
	"Carroll County, IL"	"17015"	"2016"	"2016"	"Unspecified dementia"	"F03"	13	14539	Unreliable
	"Carroll County, IL"	"17015"	"2016"	"2016"	"Atherosclerotic heart disease"	"I25.1"	25	14539	172.0
	"Carroll County, IL"	"17015"	"2017"	"2017"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	10	14518	Unreliable
	"Carroll County, IL"	"17015"	"2017"	"2017"	"Unspecified dementia"	"F03"	16	14518	Unreliable
	"Carroll County, IL"	"17015"	"2017"	"2017"	"Atherosclerotic heart disease"	"I25.1"	11	14518	Unreliable
	"Carroll County, IL"	"17015"	"2017"	"2017"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	12	14518	Unreliable
	"Carroll County, IL"	"17015"	"2018"	"2018"	"Atherosclerotic heart disease"	"I25.1"	20	14312	139.7
	"Carroll County, IL"	"17015"	"2019"	"2019"	"Unspecified dementia"	"F03"	14	14305	Unreliable
	"Carroll County, IL"	"17015"	"2019"	"2019"	"Atherosclerotic heart disease"	"I25.1"	14	14305	Unreliable
	"Cass County, IL"	"17017"	"2016"	"2016"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	12	12676	Unreliable
	"Cass County, IL"	"17017"	"2018"	"2018"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	10	12260	Unreliable
	"Cass County, IL"	"17017"	"2018"	"2018"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	12	12260	Unreliable
	"Cass County, IL"	"17017"	"2019"	"2019"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	11	12147	Unreliable
	"Cass County, IL"	"17017"	"2019"	"2019"	"Acute myocardial infarction, unspecified"	"I21.9"	11	12147	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Septicaemia, unspecified"	"A41.9"	24	208419	11.5
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	24	208419	11.5
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	24	208419	11.5
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	67	208419	32.1
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	19	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	10	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Malignant neoplasm without specification of site"	"C80"	15	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Other obesity"	"E66.8"	10	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Hyperlipidaemia, unspecified"	"E78.5"	12	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Unspecified dementia"	"F03"	64	208419	30.7
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Parkinson disease"	"G20"	18	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	55	208419	26.4
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Acute myocardial infarction, unspecified"	"I21.9"	58	208419	27.8
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	16	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Atherosclerotic heart disease"	"I25.1"	41	208419	19.7
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Atrial fibrillation and flutter"	"I48"	23	208419	11.0
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Congestive heart failure"	"I50.0"	55	208419	26.4
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Heart failure, unspecified"	"I50.9"	11	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Stroke, not specified as haemorrhage or infarction"	"I64"	41	208419	19.7
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Pneumonia, unspecified"	"J18.9"	20	208419	9.6
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	59	208419	28.3
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Pneumonitis due to food and vomit"	"J69.0"	13	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Alcoholic cirrhosis of liver"	"K70.3"	11	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Chronic kidney disease, stage 5"	"N18.5"	11	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	11	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Other fall on same level"	"W18"	11	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	208419	Unreliable
	"Champaign County, IL"	"17019"	"2016"	"2016"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	11	208419	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Septicaemia, unspecified"	"A41.9"	15	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	11	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	16	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	16	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	74	209399	35.3
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	22	209399	10.5
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Malignant neoplasm of prostate"	"C61"	22	209399	10.5
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Malignant neoplasm without specification of site"	"C80"	23	209399	11.0
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Unspecified dementia"	"F03"	73	209399	34.9
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Parkinson disease"	"G20"	18	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Alzheimer disease, unspecified"	"G30.9"	74	209399	35.3
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Acute myocardial infarction, unspecified"	"I21.9"	60	209399	28.7
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	17	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Atherosclerotic heart disease"	"I25.1"	43	209399	20.5
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Aortic (valve) stenosis"	"I35.0"	13	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Atrial fibrillation and flutter"	"I48"	18	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Congestive heart failure"	"I50.0"	46	209399	22.0
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Heart failure, unspecified"	"I50.9"	12	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Stroke, not specified as haemorrhage or infarction"	"I64"	28	209399	13.4
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Pneumonia, unspecified"	"J18.9"	20	209399	9.6
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	59	209399	28.2
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Pneumonitis due to food and vomit"	"J69.0"	12	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Chronic kidney disease, stage 5"	"N18.5"	10	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Other fall on same level"	"W18"	14	209399	Unreliable
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	22	209399	10.5
	"Champaign County, IL"	"17019"	"2017"	"2017"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	10	209399	Unreliable
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	12	209983	Unreliable
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	24	209983	11.4
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	58	209983	27.6
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	23	209983	11.0
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Malignant neoplasm of prostate"	"C61"	16	209983	Unreliable
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Malignant neoplasm without specification of site"	"C80"	16	209983	Unreliable
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Unspecified diabetes mellitus, without complications"	"E14.9"	10	209983	Unreliable
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Unspecified dementia"	"F03"	77	209983	36.7
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Parkinson disease"	"G20"	29	209983	13.8
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Alzheimer disease, unspecified"	"G30.9"	76	209983	36.2
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Acute myocardial infarction, unspecified"	"I21.9"	61	209983	29.0
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	16	209983	Unreliable
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Atherosclerotic heart disease"	"I25.1"	39	209983	18.6
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Cardiomyopathy, unspecified"	"I42.9"	10	209983	Unreliable
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Atrial fibrillation and flutter"	"I48"	19	209983	Unreliable
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Congestive heart failure"	"I50.0"	52	209983	24.8
	"Champaign County, IL"	"17019"	"2018"	"2018"	"Heart failure, unspecified"	"I50.9"	15	209983	Unreliable
