,County,County Code,Year,Year Code,Cause of death,Deaths,Population,Crude Rate
38,"Adams County, IL",17001,2018,2018,"Acute myocardial infarction, unspecified",36,65691,54
39,"Adams County, IL",17001,2018,2018,Atherosclerotic heart disease,48,65691,73
40,"Adams County, IL",17001,2018,2018,Congestive heart failure,24,65691,36
41,"Adams County, IL",17001,2018,2018,"Stroke, not specified as haemorrhage or infarction",22,65691,33
42,"Adams County, IL",17001,2018,2018,"Pneumonia, unspecified",14,65691,0
43,"Adams County, IL",17001,2018,2018,"Chronic obstructive pulmonary disease, unspecified",37,65691,56
44,"Adams County, IL",17001,2018,2018,Pneumonitis due to food and vomit,10,65691,0
45,"Adams County, IL",17001,2018,2018,"Respiratory failure, unspecified",11,65691,0
46,"Adams County, IL",17001,2018,2018,"Chronic kidney disease, stage 5",10,65691,0
47,"Adams County, IL",17001,2019,2019,"Septicaemia, unspecified",17,65435,0
48,"Adams County, IL",17001,2019,2019,"Pancreas, unspecified - Malignant neoplasms",22,65435,33
49,"Adams County, IL",17001,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",39,65435,59
50,"Adams County, IL",17001,2019,2019,"Breast, unspecified - Malignant neoplasms",17,65435,0
51,"Adams County, IL",17001,2019,2019,Malignant neoplasm without specification of site,10,65435,0
52,"Adams County, IL",17001,2019,2019,Unspecified dementia,66,65435,100
53,"Adams County, IL",17001,2019,2019,"Alzheimer disease, unspecified",36,65435,55
54,"Adams County, IL",17001,2019,2019,Essential (primary) hypertension,11,65435,0
55,"Adams County, IL",17001,2019,2019,"Acute myocardial infarction, unspecified",24,65435,36
56,"Adams County, IL",17001,2019,2019,Atherosclerotic heart disease,34,65435,52
57,"Adams County, IL",17001,2019,2019,"Cardiac arrest, unspecified",11,65435,0
58,"Adams County, IL",17001,2019,2019,Congestive heart failure,17,65435,0
59,"Adams County, IL",17001,2019,2019,"Stroke, not specified as haemorrhage or infarction",17,65435,0
60,"Adams County, IL",17001,2019,2019,"Pneumonia, unspecified",12,65435,0
61,"Adams County, IL",17001,2019,2019,"Chronic obstructive pulmonary disease, unspecified",38,65435,58
62,"Adams County, IL",17001,2019,2019,"Chronic kidney disease, stage 5",10,65435,0
63,"Alexander County, IL",17003,2016,2016,"Acute myocardial infarction, unspecified",17,6478,0
64,"Alexander County, IL",17003,2017,2017,"Chronic obstructive pulmonary disease, unspecified",10,6315,0
65,"Alexander County, IL",17003,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",11,5761,0
66,"Bond County, IL",17005,2016,2016,"Bronchus or lung, unspecified - Malignant neoplasms",14,16824,0
67,"Bond County, IL",17005,2016,2016,"Acute myocardial infarction, unspecified",19,16824,0
68,"Bond County, IL",17005,2016,2016,Atherosclerotic heart disease,16,16824,0
69,"Bond County, IL",17005,2017,2017,"Bronchus or lung, unspecified - Malignant neoplasms",10,16948,0
70,"Bond County, IL",17005,2017,2017,"Acute myocardial infarction, unspecified",19,16948,0
71,"Bond County, IL",17005,2017,2017,Atherosclerotic heart disease,12,16948,0
72,"Bond County, IL",17005,2018,2018,"Acute myocardial infarction, unspecified",11,16630,0
73,"Bond County, IL",17005,2019,2019,"Acute myocardial infarction, unspecified",17,16426,0
74,"Bond County, IL",17005,2019,2019,Atherosclerotic heart disease,13,16426,0
75,"Boone County, IL",17007,2016,2016,"Bronchus or lung, unspecified - Malignant neoplasms",27,53503,50
76,"Boone County, IL",17007,2016,2016,Unspecified dementia,15,53503,0
77,"Boone County, IL",17007,2016,2016,"Alzheimer disease, unspecified",16,53503,0
78,"Boone County, IL",17007,2016,2016,"Acute myocardial infarction, unspecified",18,53503,0
79,"Boone County, IL",17007,2016,2016,Atherosclerotic heart disease,13,53503,0
80,"Boone County, IL",17007,2016,2016,Congestive heart failure,11,53503,0
81,"Boone County, IL",17007,2016,2016,"Chronic obstructive pulmonary disease, unspecified",28,53503,52
82,"Boone County, IL",17007,2017,2017,"Pancreas, unspecified - Malignant neoplasms",11,53513,0
83,"Boone County, IL",17007,2017,2017,"Bronchus or lung, unspecified - Malignant neoplasms",23,53513,43
84,"Boone County, IL",17007,2017,2017,"Breast, unspecified - Malignant neoplasms",10,53513,0
85,"Boone County, IL",17007,2017,2017,Unspecified dementia,22,53513,41
86,"Boone County, IL",17007,2017,2017,"Alzheimer disease, unspecified",17,53513,0
87,"Boone County, IL",17007,2017,2017,"Acute myocardial infarction, unspecified",12,53513,0
88,"Boone County, IL",17007,2017,2017,Atherosclerotic heart disease,26,53513,48
89,"Boone County, IL",17007,2017,2017,Congestive heart failure,11,53513,0
90,"Boone County, IL",17007,2017,2017,"Heart failure, unspecified",10,53513,0
91,"Boone County, IL",17007,2017,2017,"Stroke, not specified as haemorrhage or infarction",13,53513,0
92,"Boone County, IL",17007,2017,2017,"Chronic obstructive pulmonary disease, unspecified",21,53513,39
93,"Boone County, IL",17007,2018,2018,"Pancreas, unspecified - Malignant neoplasms",11,53577,0
94,"Boone County, IL",17007,2018,2018,"Bronchus or lung, unspecified - Malignant neoplasms",24,53577,44
95,"Boone County, IL",17007,2018,2018,Unspecified dementia,25,53577,46
96,"Boone County, IL",17007,2018,2018,"Alzheimer disease, unspecified",17,53577,0
97,"Boone County, IL",17007,2018,2018,"Acute myocardial infarction, unspecified",23,53577,42
98,"Boone County, IL",17007,2018,2018,Atherosclerotic heart disease,24,53577,44
99,"Boone County, IL",17007,2018,2018,Congestive heart failure,17,53577,0
100,"Boone County, IL",17007,2018,2018,"Heart failure, unspecified",12,53577,0
101,"Boone County, IL",17007,2018,2018,"Chronic obstructive pulmonary disease, unspecified",20,53577,37
102,"Boone County, IL",17007,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",19,53544,0
103,"Boone County, IL",17007,2019,2019,Unspecified dementia,18,53544,0
104,"Boone County, IL",17007,2019,2019,"Alzheimer disease, unspecified",24,53544,44
105,"Boone County, IL",17007,2019,2019,Atherosclerotic heart disease,17,53544,0
106,"Boone County, IL",17007,2019,2019,Congestive heart failure,18,53544,0
107,"Boone County, IL",17007,2019,2019,"Chronic obstructive pulmonary disease, unspecified",17,53544,0
108,"Bureau County, IL",17011,2016,2016,"Septicaemia, unspecified",12,33359,0
109,"Bureau County, IL",17011,2016,2016,"Bronchus or lung, unspecified - Malignant neoplasms",26,33359,77
110,"Bureau County, IL",17011,2016,2016,Unspecified dementia,16,33359,0
111,"Bureau County, IL",17011,2016,2016,"Alzheimer disease, unspecified",18,33359,0
112,"Bureau County, IL",17011,2016,2016,"Acute myocardial infarction, unspecified",46,33359,137
113,"Bureau County, IL",17011,2016,2016,Atherosclerotic heart disease,10,33359,0
114,"Bureau County, IL",17011,2016,2016,Congestive heart failure,26,33359,77
115,"Bureau County, IL",17011,2016,2016,"Stroke, not specified as haemorrhage or infarction",18,33359,0
116,"Bureau County, IL",17011,2016,2016,"Pneumonia, unspecified",11,33359,0
117,"Bureau County, IL",17011,2016,2016,"Chronic obstructive pulmonary disease, unspecified",29,33359,86
118,"Bureau County, IL",17011,2017,2017,"Pancreas, unspecified - Malignant neoplasms",10,33243,0
119,"Bureau County, IL",17011,2017,2017,"Bronchus or lung, unspecified - Malignant neoplasms",27,33243,81
120,"Bureau County, IL",17011,2017,2017,"Acute myocardial infarction, unspecified",38,33243,114
121,"Bureau County, IL",17011,2017,2017,Atherosclerotic heart disease,14,33243,0
122,"Bureau County, IL",17011,2017,2017,Congestive heart failure,18,33243,0
123,"Bureau County, IL",17011,2017,2017,"Stroke, not specified as haemorrhage or infarction",15,33243,0
124,"Bureau County, IL",17011,2017,2017,"Pneumonia, unspecified",15,33243,0
125,"Bureau County, IL",17011,2017,2017,"Chronic obstructive pulmonary disease, unspecified",23,33243,69
126,"Bureau County, IL",17011,2018,2018,"Bronchus or lung, unspecified - Malignant neoplasms",20,32993,60
127,"Bureau County, IL",17011,2018,2018,Unspecified dementia,16,32993,0
128,"Bureau County, IL",17011,2018,2018,"Acute myocardial infarction, unspecified",47,32993,142
129,"Bureau County, IL",17011,2018,2018,Atherosclerotic heart disease,16,32993,0
130,"Bureau County, IL",17011,2018,2018,Congestive heart failure,13,32993,0
131,"Bureau County, IL",17011,2018,2018,"Chronic obstructive pulmonary disease, unspecified",22,32993,66
132,"Bureau County, IL",17011,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",25,32628,76
133,"Bureau County, IL",17011,2019,2019,Unspecified dementia,23,32628,70
134,"Bureau County, IL",17011,2019,2019,"Alzheimer disease, unspecified",14,32628,0
135,"Bureau County, IL",17011,2019,2019,"Acute myocardial infarction, unspecified",35,32628,107
136,"Bureau County, IL",17011,2019,2019,Atherosclerotic heart disease,14,32628,0
137,"Bureau County, IL",17011,2019,2019,Congestive heart failure,19,32628,0
138,"Bureau County, IL",17011,2019,2019,"Heart failure, unspecified",10,32628,0
139,"Bureau County, IL",17011,2019,2019,"Stroke, not specified as haemorrhage or infarction",15,32628,0
140,"Bureau County, IL",17011,2019,2019,"Chronic obstructive pulmonary disease, unspecified",17,32628,0
141,"Carroll County, IL",17015,2016,2016,"Bronchus or lung, unspecified - Malignant neoplasms",11,14539,0
142,"Carroll County, IL",17015,2016,2016,Unspecified dementia,13,14539,0
143,"Carroll County, IL",17015,2016,2016,Atherosclerotic heart disease,25,14539,172
144,"Carroll County, IL",17015,2017,2017,"Bronchus or lung, unspecified - Malignant neoplasms",10,14518,0
145,"Carroll County, IL",17015,2017,2017,Unspecified dementia,16,14518,0
146,"Carroll County, IL",17015,2017,2017,Atherosclerotic heart disease,11,14518,0
147,"Carroll County, IL",17015,2017,2017,"Chronic obstructive pulmonary disease, unspecified",12,14518,0
148,"Carroll County, IL",17015,2018,2018,Atherosclerotic heart disease,20,14312,139
149,"Carroll County, IL",17015,2019,2019,Unspecified dementia,14,14305,0
150,"Carroll County, IL",17015,2019,2019,Atherosclerotic heart disease,14,14305,0
151,"Cass County, IL",17017,2016,2016,"Bronchus or lung, unspecified - Malignant neoplasms",12,12676,0
152,"Cass County, IL",17017,2018,2018,"Bronchus or lung, unspecified - Malignant neoplasms",10,12260,0
153,"Cass County, IL",17017,2018,2018,"Chronic obstructive pulmonary disease, unspecified",12,12260,0
154,"Cass County, IL",17017,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",11,12147,0
155,"Cass County, IL",17017,2019,2019,"Acute myocardial infarction, unspecified",11,12147,0
156,"Champaign County, IL",17019,2016,2016,"Septicaemia, unspecified",24,208419,11
157,"Champaign County, IL",17019,2016,2016,"Colon, unspecified - Malignant neoplasms",24,208419,11
158,"Champaign County, IL",17019,2016,2016,"Pancreas, unspecified - Malignant neoplasms",24,208419,11
159,"Champaign County, IL",17019,2016,2016,"Bronchus or lung, unspecified - Malignant neoplasms",67,208419,32
160,"Champaign County, IL",17019,2016,2016,"Breast, unspecified - Malignant neoplasms",19,208419,0
161,"Champaign County, IL",17019,2016,2016,"Brain, unspecified - Malignant neoplasms",10,208419,0
162,"Champaign County, IL",17019,2016,2016,Malignant neoplasm without specification of site,15,208419,0
163,"Champaign County, IL",17019,2016,2016,Other obesity,10,208419,0
164,"Champaign County, IL",17019,2016,2016,"Hyperlipidaemia, unspecified",12,208419,0
165,"Champaign County, IL",17019,2016,2016,Unspecified dementia,64,208419,30
166,"Champaign County, IL",17019,2016,2016,Parkinson disease,18,208419,0
167,"Champaign County, IL",17019,2016,2016,"Alzheimer disease, unspecified",55,208419,26
168,"Champaign County, IL",17019,2016,2016,"Acute myocardial infarction, unspecified",58,208419,27
169,"Champaign County, IL",17019,2016,2016,"Atherosclerotic cardiovascular disease, so described",16,208419,0
170,"Champaign County, IL",17019,2016,2016,Atherosclerotic heart disease,41,208419,19
171,"Champaign County, IL",17019,2016,2016,Atrial fibrillation and flutter,23,208419,11
172,"Champaign County, IL",17019,2016,2016,Congestive heart failure,55,208419,26
173,"Champaign County, IL",17019,2016,2016,"Heart failure, unspecified",11,208419,0
174,"Champaign County, IL",17019,2016,2016,"Stroke, not specified as haemorrhage or infarction",41,208419,19
175,"Champaign County, IL",17019,2016,2016,"Pneumonia, unspecified",20,208419,9
176,"Champaign County, IL",17019,2016,2016,"Chronic obstructive pulmonary disease, unspecified",59,208419,28
177,"Champaign County, IL",17019,2016,2016,Pneumonitis due to food and vomit,13,208419,0
178,"Champaign County, IL",17019,2016,2016,Alcoholic cirrhosis of liver,11,208419,0
179,"Champaign County, IL",17019,2016,2016,"Chronic kidney disease, stage 5",11,208419,0
180,"Champaign County, IL",17019,2016,2016,"Person injured in unspecified motor-vehicle accident, traffic",11,208419,0
181,"Champaign County, IL",17019,2016,2016,Other fall on same level,11,208419,0
182,"Champaign County, IL",17019,2016,2016,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",13,208419,0
183,"Champaign County, IL",17019,2016,2016,"Intentional self-harm by hanging, strangulation and suffocation",11,208419,0
184,"Champaign County, IL",17019,2017,2017,"Septicaemia, unspecified",15,209399,0
185,"Champaign County, IL",17019,2017,2017,"Oesophagus, unspecified - Malignant neoplasms",11,209399,0
186,"Champaign County, IL",17019,2017,2017,"Colon, unspecified - Malignant neoplasms",16,209399,0
187,"Champaign County, IL",17019,2017,2017,"Pancreas, unspecified - Malignant neoplasms",16,209399,0
188,"Champaign County, IL",17019,2017,2017,"Bronchus or lung, unspecified - Malignant neoplasms",74,209399,35
189,"Champaign County, IL",17019,2017,2017,"Breast, unspecified - Malignant neoplasms",22,209399,10
190,"Champaign County, IL",17019,2017,2017,Malignant neoplasm of prostate,22,209399,10
191,"Champaign County, IL",17019,2017,2017,Malignant neoplasm without specification of site,23,209399,11
192,"Champaign County, IL",17019,2017,2017,Unspecified dementia,73,209399,34
193,"Champaign County, IL",17019,2017,2017,Parkinson disease,18,209399,0
194,"Champaign County, IL",17019,2017,2017,"Alzheimer disease, unspecified",74,209399,35
195,"Champaign County, IL",17019,2017,2017,"Acute myocardial infarction, unspecified",60,209399,28
196,"Champaign County, IL",17019,2017,2017,"Atherosclerotic cardiovascular disease, so described",17,209399,0
197,"Champaign County, IL",17019,2017,2017,Atherosclerotic heart disease,43,209399,20
198,"Champaign County, IL",17019,2017,2017,Aortic (valve) stenosis,13,209399,0
199,"Champaign County, IL",17019,2017,2017,Atrial fibrillation and flutter,18,209399,0
200,"Champaign County, IL",17019,2017,2017,Congestive heart failure,46,209399,22
201,"Champaign County, IL",17019,2017,2017,"Heart failure, unspecified",12,209399,0
202,"Champaign County, IL",17019,2017,2017,"Stroke, not specified as haemorrhage or infarction",28,209399,13
203,"Champaign County, IL",17019,2017,2017,"Pneumonia, unspecified",20,209399,9
204,"Champaign County, IL",17019,2017,2017,"Chronic obstructive pulmonary disease, unspecified",59,209399,28
205,"Champaign County, IL",17019,2017,2017,Pneumonitis due to food and vomit,12,209399,0
206,"Champaign County, IL",17019,2017,2017,"Chronic kidney disease, stage 5",10,209399,0
207,"Champaign County, IL",17019,2017,2017,Other fall on same level,14,209399,0
208,"Champaign County, IL",17019,2017,2017,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",22,209399,10
209,"Champaign County, IL",17019,2017,2017,"Intentional self-harm by hanging, strangulation and suffocation",10,209399,0
210,"Champaign County, IL",17019,2018,2018,"Colon, unspecified - Malignant neoplasms",12,209983,0
211,"Champaign County, IL",17019,2018,2018,"Pancreas, unspecified - Malignant neoplasms",24,209983,11
212,"Champaign County, IL",17019,2018,2018,"Bronchus or lung, unspecified - Malignant neoplasms",58,209983,27
213,"Champaign County, IL",17019,2018,2018,"Breast, unspecified - Malignant neoplasms",23,209983,11
214,"Champaign County, IL",17019,2018,2018,Malignant neoplasm of prostate,16,209983,0
215,"Champaign County, IL",17019,2018,2018,Malignant neoplasm without specification of site,16,209983,0
216,"Champaign County, IL",17019,2018,2018,"Unspecified diabetes mellitus, without complications",10,209983,0
217,"Champaign County, IL",17019,2018,2018,Unspecified dementia,77,209983,36
218,"Champaign County, IL",17019,2018,2018,Parkinson disease,29,209983,13
219,"Champaign County, IL",17019,2018,2018,"Alzheimer disease, unspecified",76,209983,36
220,"Champaign County, IL",17019,2018,2018,"Acute myocardial infarction, unspecified",61,209983,29
221,"Champaign County, IL",17019,2018,2018,"Atherosclerotic cardiovascular disease, so described",16,209983,0
222,"Champaign County, IL",17019,2018,2018,Atherosclerotic heart disease,39,209983,18
223,"Champaign County, IL",17019,2018,2018,"Cardiomyopathy, unspecified",10,209983,0
224,"Champaign County, IL",17019,2018,2018,Atrial fibrillation and flutter,19,209983,0
225,"Champaign County, IL",17019,2018,2018,Congestive heart failure,52,209983,24
226,"Champaign County, IL",17019,2018,2018,"Heart failure, unspecified",15,209983,0
227,"Champaign County, IL",17019,2018,2018,"Stroke, not specified as haemorrhage or infarction",24,209983,11
228,"Champaign County, IL",17019,2018,2018,"Pneumonia, unspecified",14,209983,0
229,"Champaign County, IL",17019,2018,2018,Chronic obstructive pulmonary disease with acute lower respiratory infection,10,209983,0
230,"Champaign County, IL",17019,2018,2018,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",11,209983,0
231,"Champaign County, IL",17019,2018,2018,"Chronic obstructive pulmonary disease, unspecified",63,209983,30
232,"Champaign County, IL",17019,2018,2018,Pneumonitis due to food and vomit,18,209983,0
233,"Champaign County, IL",17019,2018,2018,"Chronic kidney disease, stage 5",21,209983,10
234,"Champaign County, IL",17019,2018,2018,Other fall on same level,20,209983,9
235,"Champaign County, IL",17019,2018,2018,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",19,209983,0
236,"Champaign County, IL",17019,2018,2018,"Intentional self-harm by hanging, strangulation and suffocation",12,209983,0
237,"Champaign County, IL",17019,2019,2019,"Septicaemia, unspecified",22,209689,10
238,"Champaign County, IL",17019,2019,2019,"Pancreas, unspecified - Malignant neoplasms",20,209689,9
239,"Champaign County, IL",17019,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",55,209689,26
240,"Champaign County, IL",17019,2019,2019,"Breast, unspecified - Malignant neoplasms",14,209689,0
241,"Champaign County, IL",17019,2019,2019,Malignant neoplasm of prostate,12,209689,0
242,"Champaign County, IL",17019,2019,2019,Malignant neoplasm without specification of site,18,209689,0
243,"Champaign County, IL",17019,2019,2019,Multiple myeloma - Malignant neoplasms,10,209689,0
244,"Champaign County, IL",17019,2019,2019,"Non-insulin-dependent diabetes mellitus, without complications",14,209689,0
245,"Champaign County, IL",17019,2019,2019,Unspecified dementia,59,209689,28
246,"Champaign County, IL",17019,2019,2019,Parkinson disease,25,209689,11
247,"Champaign County, IL",17019,2019,2019,"Alzheimer disease, unspecified",69,209689,32
248,"Champaign County, IL",17019,2019,2019,"Acute myocardial infarction, unspecified",74,209689,35
249,"Champaign County, IL",17019,2019,2019,"Atherosclerotic cardiovascular disease, so described",22,209689,10
250,"Champaign County, IL",17019,2019,2019,Atherosclerotic heart disease,40,209689,19
251,"Champaign County, IL",17019,2019,2019,Aortic (valve) stenosis,10,209689,0
252,"Champaign County, IL",17019,2019,2019,Atrial fibrillation and flutter,20,209689,9
253,"Champaign County, IL",17019,2019,2019,Congestive heart failure,51,209689,24
254,"Champaign County, IL",17019,2019,2019,"Heart failure, unspecified",16,209689,0
255,"Champaign County, IL",17019,2019,2019,"Stroke, not specified as haemorrhage or infarction",18,209689,0
256,"Champaign County, IL",17019,2019,2019,"Pneumonia, unspecified",17,209689,0
257,"Champaign County, IL",17019,2019,2019,"Chronic obstructive pulmonary disease, unspecified",55,209689,26
258,"Champaign County, IL",17019,2019,2019,Pneumonitis due to food and vomit,14,209689,0
259,"Champaign County, IL",17019,2019,2019,Other interstitial pulmonary diseases with fibrosis,10,209689,0
260,"Champaign County, IL",17019,2019,2019,"Chronic kidney disease, stage 5",13,209689,0
261,"Champaign County, IL",17019,2019,2019,Other ill-defined and unspecified causes of mortality,10,209689,0
262,"Champaign County, IL",17019,2019,2019,Other fall on same level,30,209689,14
263,"Champaign County, IL",17019,2019,2019,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",29,209689,13
264,"Champaign County, IL",17019,2019,2019,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",10,209689,0
265,"Christian County, IL",17021,2016,2016,"Septicaemia, unspecified",12,33309,0
266,"Christian County, IL",17021,2016,2016,"Bronchus or lung, unspecified - Malignant neoplasms",25,33309,75
267,"Christian County, IL",17021,2016,2016,Unspecified dementia,22,33309,66
268,"Christian County, IL",17021,2016,2016,"Alzheimer disease, unspecified",19,33309,0
269,"Christian County, IL",17021,2016,2016,"Acute myocardial infarction, unspecified",33,33309,99
270,"Christian County, IL",17021,2016,2016,Atherosclerotic heart disease,23,33309,69
271,"Christian County, IL",17021,2016,2016,"Chronic obstructive pulmonary disease, unspecified",17,33309,0
272,"Christian County, IL",17021,2017,2017,"Bronchus or lung, unspecified - Malignant neoplasms",25,33102,75
273,"Christian County, IL",17021,2017,2017,Unspecified dementia,23,33102,69
274,"Christian County, IL",17021,2017,2017,"Acute myocardial infarction, unspecified",25,33102,75
275,"Christian County, IL",17021,2017,2017,Atherosclerotic heart disease,23,33102,69
276,"Christian County, IL",17021,2017,2017,Congestive heart failure,10,33102,0
277,"Christian County, IL",17021,2017,2017,"Stroke, not specified as haemorrhage or infarction",11,33102,0
278,"Christian County, IL",17021,2017,2017,"Chronic obstructive pulmonary disease, unspecified",17,33102,0
279,"Christian County, IL",17021,2018,2018,"Septicaemia, unspecified",17,32661,0
280,"Christian County, IL",17021,2018,2018,"Bronchus or lung, unspecified - Malignant neoplasms",25,32661,76
281,"Christian County, IL",17021,2018,2018,Unspecified dementia,18,32661,0
282,"Christian County, IL",17021,2018,2018,"Alzheimer disease, unspecified",11,32661,0
283,"Christian County, IL",17021,2018,2018,"Acute myocardial infarction, unspecified",25,32661,76
284,"Christian County, IL",17021,2018,2018,Atherosclerotic heart disease,21,32661,64
285,"Christian County, IL",17021,2018,2018,Congestive heart failure,12,32661,0
286,"Christian County, IL",17021,2018,2018,"Pneumonia, unspecified",13,32661,0
287,"Christian County, IL",17021,2018,2018,"Chronic obstructive pulmonary disease, unspecified",25,32661,76
288,"Christian County, IL",17021,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",29,32304,89
289,"Christian County, IL",17021,2019,2019,Unspecified dementia,29,32304,89
290,"Christian County, IL",17021,2019,2019,"Alzheimer disease, unspecified",12,32304,0
291,"Christian County, IL",17021,2019,2019,"Acute myocardial infarction, unspecified",40,32304,123
292,"Christian County, IL",17021,2019,2019,Atherosclerotic heart disease,29,32304,89
293,"Christian County, IL",17021,2019,2019,"Chronic obstructive pulmonary disease, unspecified",31,32304,96
294,"Clark County, IL",17023,2016,2016,"Bronchus or lung, unspecified - Malignant neoplasms",10,15938,0
295,"Clark County, IL",17023,2016,2016,"Alzheimer disease, unspecified",10,15938,0
296,"Clark County, IL",17023,2016,2016,Atherosclerotic heart disease,14,15938,0
297,"Clark County, IL",17023,2017,2017,"Bronchus or lung, unspecified - Malignant neoplasms",10,15767,0
298,"Clark County, IL",17023,2017,2017,"Acute myocardial infarction, unspecified",10,15767,0
299,"Clark County, IL",17023,2017,2017,Atherosclerotic heart disease,10,15767,0
300,"Clark County, IL",17023,2017,2017,Congestive heart failure,11,15767,0
301,"Clark County, IL",17023,2018,2018,"Chronic obstructive pulmonary disease, unspecified",13,15596,0
302,"Clark County, IL",17023,2019,2019,Unspecified dementia,16,15441,0
303,"Clark County, IL",17023,2019,2019,Atherosclerotic heart disease,14,15441,0
304,"Clark County, IL",17023,2019,2019,"Chronic obstructive pulmonary disease, unspecified",10,15441,0
305,"Clay County, IL",17025,2016,2016,"Bronchus or lung, unspecified - Malignant neoplasms",13,13300,0
306,"Clay County, IL",17025,2016,2016,Atherosclerotic heart disease,12,13300,0
307,"Clay County, IL",17025,2017,2017,"Sudden cardiac death, so described",11,13269,0
308,"Clay County, IL",17025,2018,2018,"Bronchus or lung, unspecified - Malignant neoplasms",18,13253,0
309,"Clay County, IL",17025,2018,2018,Atherosclerotic heart disease,13,13253,0
310,"Clay County, IL",17025,2018,2018,"Cardiac arrest, unspecified",14,13253,0
311,"Clay County, IL",17025,2018,2018,"Chronic obstructive pulmonary disease, unspecified",12,13253,0
312,"Clay County, IL",17025,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",12,13184,0
313,"Clinton County, IL",17027,2016,2016,"Bronchus or lung, unspecified - Malignant neoplasms",21,37729,55
