year,locationname,category,measure,data_value,totalpopulation,short_question_text
2018,17031833100,Health Outcomes,Stroke among adults aged >=18 years,1.4,6895,Stroke
2018,17031834500,Health Outcomes,Stroke among adults aged >=18 years,4.8,1475,Stroke
2018,17031835200,Health Outcomes,Stroke among adults aged >=18 years,3.1,2060,Stroke
2018,17031840000,Unhealthy Behaviors,Obesity among adults aged >=18 years,24.5,2695,Obesity
2018,17031843600,Unhealthy Behaviors,Obesity among adults aged >=18 years,38.2,2807,Obesity
2018,17031221300,Prevention,Cervical cancer screening among adult women aged 21-65 years,81.4,3222,Cervical Cancer Screening
2018,17031040402,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,13.6,4468,Physical Inactivity
2018,17031220500,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,75.0,2626,Dental Visit
2018,17031081403,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 years,5.5,6229,Physical Health
2018,17031251000,Health Outcomes,Coronary heart disease among adults aged >=18 years,5.4,1181,Coronary Heart Disease
2018,17031020302,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,23.4,4650,Physical Inactivity
2018,17031240800,Prevention,Cervical cancer screening among adult women aged 21-65 years,82.4,1617,Cervical Cancer Screening
2018,17031063303,Health Outcomes,All teeth lost among adults aged >=65 years,5.4,1201,Teeth Loss
2017,17031140702,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,62.2,6187,Taking BP Medication
2018,17031170900,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,22.1,1713,Binge Drinking
2018,17031030706,Health Outcomes,Coronary heart disease among adults aged >=18 years,7.1,3599,Coronary Heart Disease
2018,17031210100,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 years,9.6,4028,Physical Health
2018,17031040300,Health Outcomes,Current asthma among adults aged >=18 years,7.9,3069,Current Asthma
2018,17031250500,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",30.9,7538,Core preventive services for older men
2018,17031070101,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 years,7.0,3796,Physical Health
2018,17031020200,Health Outcomes,Current asthma among adults aged >=18 years,8.9,6676,Current Asthma
2018,17031240200,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,9.4,1452,Mental Health
2018,17031070102,Prevention,Mammography use among women aged 50-74 years,81.1,2413,Mammography
2018,17031060200,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,3.4,2111,COPD
2018,17031190100,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",21.7,2488,Core preventive services for older women
2018,17031250600,Unhealthy Behaviors,Obesity among adults aged >=18 years,40.6,4422,Obesity
2017,17031190702,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,64.3,4869,Taking BP Medication
2018,17031081800,Prevention,Cervical cancer screening among adult women aged 21-65 years,87.6,6866,Cervical Cancer Screening
2018,17031243500,Health Outcomes,Arthritis among adults aged >=18 years,11.4,2937,Arthritis
2017,17031040600,Health Outcomes,High blood pressure among adults aged >=18 years,18.1,2434,High Blood Pressure
2018,17031251600,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,39.3,3649,Physical Inactivity
2017,17031051000,Prevention,Cholesterol screening among adults aged >=18 years,82.0,1503,Cholesterol Screening
2017,17031241500,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,47.4,2872,Taking BP Medication
2018,17031061800,Prevention,Cervical cancer screening among adult women aged 21-65 years,82.6,1112,Cervical Cancer Screening
2017,17031020302,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,31.6,4650,High Cholesterol
2018,17031242800,Prevention,Mammography use among women aged 50-74 years,79.5,1436,Mammography
2018,17031050900,Health Outcomes,Coronary heart disease among adults aged >=18 years,2.7,1391,Coronary Heart Disease
2018,17031030104,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,19.3,3681,Physical Inactivity
2018,17031180100,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",25.0,6156,Core preventive services for older women
2018,17031120300,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,20.3,6365,Binge Drinking
2018,17031240300,Health Outcomes,All teeth lost among adults aged >=65 years,3.9,1317,Teeth Loss
2018,17031081000,Prevention,Cervical cancer screening among adult women aged 21-65 years,78.4,7546,Cervical Cancer Screening
2017,17031190900,Health Outcomes,High blood pressure among adults aged >=18 years,30.5,2040,High Blood Pressure
2018,17031220701,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,22.4,3437,Physical Inactivity
2018,17031191000,Health Outcomes,All teeth lost among adults aged >=65 years,13.6,2559,Teeth Loss
2018,17031060500,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,7.2,1309,Cancer (except skin)
2018,17031231200,Health Outcomes,Coronary heart disease among adults aged >=18 years,6.3,6095,Coronary Heart Disease
2018,17031020500,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,52.0,6214,Dental Visit
2018,17031081100,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,75.9,3640,Dental Visit
2018,17031243400,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",29.2,3001,Core preventive services for older women
2018,17031220500,Prevention,Mammography use among women aged 50-74 years,81.6,2626,Mammography
2018,17031031100,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,17.8,4402,Physical Inactivity
2017,17031071700,Health Outcomes,High blood pressure among adults aged >=18 years,21.3,1652,High Blood Pressure
2017,17031200402,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,28.2,4396,High Cholesterol
2018,17031251900,Health Outcomes,Chronic kidney disease among adults aged >=18 years,4.5,5731,Chronic Kidney Disease
2017,17031061902,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,70.2,4240,Taking BP Medication
2018,17031010100,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,10.3,4854,Diabetes
2018,17031222200,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,3.3,1912,Diabetes
2018,17031190401,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,28.4,4257,Physical Inactivity
2018,17031190402,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,6.6,5458,COPD
2018,17031020100,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,20.1,3965,Binge Drinking
2018,17031190601,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,29.6,4545,Physical Inactivity
2018,17031031900,Health Outcomes,Coronary heart disease among adults aged >=18 years,2.9,2304,Coronary Heart Disease
2018,17031150501,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 years,10.2,3648,Physical Health
2018,17031060900,Unhealthy Behaviors,Current smoking among adults aged >=18 years,11.6,6867,Current Smoking
2018,17031070600,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,2.4,2981,COPD
2018,17031161000,Prevention,Cervical cancer screening among adult women aged 21-65 years,85.9,1707,Cervical Cancer Screening
2018,17031170100,Prevention,Cervical cancer screening among adult women aged 21-65 years,81.2,1752,Cervical Cancer Screening
2018,17031161000,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,6.4,1707,Diabetes
2018,17031150501,Health Outcomes,Stroke among adults aged >=18 years,2.8,3648,Stroke
2018,17031160602,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,4.3,3589,COPD
2018,17031210900,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,70.5,3068,Annual Checkup
2018,17031071100,Prevention,Mammography use among women aged 50-74 years,79.7,2944,Mammography
2018,17031071500,Unhealthy Behaviors,Obesity among adults aged >=18 years,21.2,5768,Obesity
2017,17031120200,Health Outcomes,High blood pressure among adults aged >=18 years,29.2,4430,High Blood Pressure
2017,17031030601,Health Outcomes,High blood pressure among adults aged >=18 years,33.4,4012,High Blood Pressure
2018,17031210601,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,23.6,3104,Binge Drinking
2018,17031063000,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 years,4.3,2973,Physical Health
2018,17031242200,Prevention,Current lack of health insurance among adults aged 18-64 years,10.5,3590,Health Insurance
2017,17031062600,Health Outcomes,High blood pressure among adults aged >=18 years,14.2,2226,High Blood Pressure
2018,17031222500,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",26.9,1410,Core preventive services for older men
2018,17031251500,Prevention,Cervical cancer screening among adult women aged 21-65 years,78.3,4784,Cervical Cancer Screening
2018,17031063302,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",72.4,3996,Colorectal Cancer Screening
2018,17031243200,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,3.6,2170,Cancer (except skin)
2018,17031081402,Unhealthy Behaviors,Current smoking among adults aged >=18 years,8.8,4243,Current Smoking
2018,17031081100,Health Outcomes,Coronary heart disease among adults aged >=18 years,3.1,3640,Coronary Heart Disease
2018,17031051400,Unhealthy Behaviors,Current smoking among adults aged >=18 years,11.8,2077,Current Smoking
2018,17031160900,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,23.9,2405,Binge Drinking
2018,17031030400,Unhealthy Behaviors,Obesity among adults aged >=18 years,28.6,2684,Obesity
2018,17031210501,Health Outcomes,Coronary heart disease among adults aged >=18 years,5.5,3900,Coronary Heart Disease
2018,17031031000,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,73.5,3656,Dental Visit
2018,17031170100,Health Outcomes,Chronic kidney disease among adults aged >=18 years,4.5,1752,Chronic Kidney Disease
2018,17031250300,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,16.6,4725,Mental Health
2017,17031030701,Health Outcomes,High blood pressure among adults aged >=18 years,26.6,1549,High Blood Pressure
2018,17031100600,Prevention,Mammography use among women aged 50-74 years,77.1,4832,Mammography
2017,17031020801,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,30.4,5458,High Cholesterol
2018,17031191200,Prevention,Current lack of health insurance among adults aged 18-64 years,42.8,3853,Health Insurance
2018,17031240900,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",56.9,1182,Colorectal Cancer Screening
2017,17031031501,Prevention,Cholesterol screening among adults aged >=18 years,80.5,4083,Cholesterol Screening
2018,17031242700,Prevention,Current lack of health insurance among adults aged 18-64 years,23.7,2029,Health Insurance
2017,17031210900,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,63.8,3068,Taking BP Medication
2018,17031030102,Prevention,Current lack of health insurance among adults aged 18-64 years,12.2,3204,Health Insurance
2018,17031100600,Health Outcomes,Arthritis among adults aged >=18 years,23.7,4832,Arthritis
2018,17031230400,Health Outcomes,Stroke among adults aged >=18 years,2.4,2609,Stroke
2018,17031110501,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",30.0,4639,Core preventive services for older women
2018,17031231200,Health Outcomes,All teeth lost among adults aged >=65 years,23.8,6095,Teeth Loss
2018,17031040700,Prevention,Mammography use among women aged 50-74 years,79.8,3123,Mammography
2018,17031030800,Unhealthy Behaviors,Current smoking among adults aged >=18 years,11.7,4326,Current Smoking
2018,17031062500,Health Outcomes,Stroke among adults aged >=18 years,1.1,1497,Stroke
2018,17031010100,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",25.4,4854,Core preventive services for older women
2018,17031140800,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,4.7,6825,Cancer (except skin)
2018,17031020601,Health Outcomes,Current asthma among adults aged >=18 years,9.6,6353,Current Asthma
2018,17031100500,Unhealthy Behaviors,Obesity among adults aged >=18 years,25.6,5779,Obesity
2017,17031071800,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,24.8,2646,High Cholesterol
2018,17031160400,Prevention,Current lack of health insurance among adults aged 18-64 years,20.9,4768,Health Insurance
2018,17031240600,Health Outcomes,Coronary heart disease among adults aged >=18 years,2.3,1457,Coronary Heart Disease
2018,17031150700,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,22.4,4608,Binge Drinking
2018,17031160700,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,23.5,5893,Physical Inactivity
2017,17031243300,Prevention,Cholesterol screening among adults aged >=18 years,80.4,2386,Cholesterol Screening
2017,17031080400,Health Outcomes,High blood pressure among adults aged >=18 years,29.8,4317,High Blood Pressure
2018,17031071200,Health Outcomes,Arthritis among adults aged >=18 years,14.2,1906,Arthritis
2018,17031210100,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,7.8,4028,Diabetes
2018,17031160900,Health Outcomes,Coronary heart disease among adults aged >=18 years,4.2,2405,Coronary Heart Disease
2018,17031250400,Health Outcomes,Stroke among adults aged >=18 years,4.8,5887,Stroke
2018,17031242700,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,13.9,2029,Mental Health
2018,17031171000,Prevention,Mammography use among women aged 50-74 years,76.6,7287,Mammography
2018,17031062100,Health Outcomes,Current asthma among adults aged >=18 years,8.0,3436,Current Asthma
2018,17031060400,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,3.2,3370,Cancer (except skin)
2018,17031071600,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,13.0,1783,Physical Inactivity
2018,17031230300,Unhealthy Behaviors,Obesity among adults aged >=18 years,35.7,1024,Obesity
2018,17031151001,Health Outcomes,Chronic kidney disease among adults aged >=18 years,2.7,2819,Chronic Kidney Disease
2018,17031120400,Health Outcomes,Current asthma among adults aged >=18 years,8.6,3515,Current Asthma
2017,17031150200,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,69.0,7540,Taking BP Medication
2018,17031242100,Health Outcomes,Current asthma among adults aged >=18 years,7.6,3648,Current Asthma
2018,17031242200,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,31.0,3590,Sleep <7 hours
2018,17031240500,Health Outcomes,Stroke among adults aged >=18 years,0.7,2251,Stroke
2018,17031120400,Health Outcomes,Chronic kidney disease among adults aged >=18 years,2.6,3515,Chronic Kidney Disease
2017,17031240500,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,42.4,2251,Taking BP Medication
2018,17031080202,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,24.4,3498,Binge Drinking
2018,17031222600,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,10.5,1602,Mental Health
2018,17031030603,Prevention,Cervical cancer screening among adult women aged 21-65 years,81.5,2095,Cervical Cancer Screening
2018,17031210602,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,8.6,4683,Diabetes
2018,17031071000,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,32.1,4442,Binge Drinking
2017,17031030900,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,65.7,3028,Taking BP Medication
2018,17031040202,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,6.5,7249,COPD
2018,17031062900,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,9.8,3976,Physical Inactivity
2018,17031051000,Health Outcomes,Stroke among adults aged >=18 years,1.2,1503,Stroke
2018,17031222800,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,37.0,1074,Sleep <7 hours
2017,17031030101,Prevention,Cholesterol screening among adults aged >=18 years,84.6,3893,Cholesterol Screening
2018,17031242800,Health Outcomes,Stroke among adults aged >=18 years,1.9,1436,Stroke
2018,17031100700,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,9.0,4826,Diabetes
2018,17031150600,Unhealthy Behaviors,Obesity among adults aged >=18 years,28.3,4163,Obesity
2018,17031063200,Unhealthy Behaviors,Current smoking among adults aged >=18 years,9.4,6345,Current Smoking
2018,17031110300,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",62.0,5161,Colorectal Cancer Screening
2017,17031062000,Health Outcomes,High blood pressure among adults aged >=18 years,13.3,2569,High Blood Pressure
2018,17031190100,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,32.6,2488,Physical Inactivity
2017,17031031700,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,63.4,6570,Taking BP Medication
2018,17031081300,Unhealthy Behaviors,Current smoking among adults aged >=18 years,8.2,4884,Current Smoking
2018,17031243100,Health Outcomes,All teeth lost among adults aged >=65 years,5.2,2242,Teeth Loss
2018,17031221100,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",25.9,4870,Core preventive services for older men
2018,17031100500,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,21.5,5779,Binge Drinking
2018,17031020902,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,38.9,4286,Sleep <7 hours
2018,17031010400,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,34.7,5042,Sleep <7 hours
2018,17031080201,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,8.3,3287,Cancer (except skin)
2018,17031031501,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,5.5,4083,Cancer (except skin)
2018,17031030200,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 years,8.4,5369,Physical Health
2018,17031040202,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,5.3,7249,Cancer (except skin)
2018,17031070500,Health Outcomes,Coronary heart disease among adults aged >=18 years,3.4,2928,Coronary Heart Disease
2018,17031220702,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",55.8,4060,Colorectal Cancer Screening
2018,17031170200,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,11.6,3892,Mental Health
2018,17031242000,Health Outcomes,Chronic kidney disease among adults aged >=18 years,2.2,4565,Chronic Kidney Disease
2018,17031062800,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,30.0,3506,Sleep <7 hours
2018,17031243100,Prevention,Cervical cancer screening among adult women aged 21-65 years,86.0,2242,Cervical Cancer Screening
2018,17031251600,Health Outcomes,Stroke among adults aged >=18 years,7.1,3649,Stroke
2018,17031130200,Health Outcomes,All teeth lost among adults aged >=65 years,5.7,1412,Teeth Loss
2018,17031221300,Health Outcomes,Current asthma among adults aged >=18 years,8.5,3222,Current Asthma
2018,17031230400,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,3.9,2609,Cancer (except skin)
2018,17031220400,Health Outcomes,All teeth lost among adults aged >=65 years,5.4,2495,Teeth Loss
2018,17031010502,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",28.1,3101,Core preventive services for older men
2018,17031050300,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,25.8,2365,Binge Drinking
2018,17031062700,Prevention,Cervical cancer screening among adult women aged 21-65 years,86.2,2724,Cervical Cancer Screening
2018,17031081403,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",35.0,6229,Core preventive services for older women
2018,17031081401,Prevention,Current lack of health insurance among adults aged 18-64 years,9.4,2279,Health Insurance
2017,17031160502,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,26.5,3550,High Cholesterol
2018,17031191200,Health Outcomes,Coronary heart disease among adults aged >=18 years,4.6,3853,Coronary Heart Disease
2018,17031170200,Health Outcomes,Arthritis among adults aged >=18 years,20.8,3892,Arthritis
2018,17031243200,Unhealthy Behaviors,Current smoking among adults aged >=18 years,11.3,2170,Current Smoking
2018,17031140500,Unhealthy Behaviors,Binge drinking among adults aged >=18 years,22.5,3679,Binge Drinking
2018,17031221600,Prevention,Cervical cancer screening among adult women aged 21-65 years,86.5,2969,Cervical Cancer Screening
2018,17031030701,Unhealthy Behaviors,No leisure-time physical activity among adults aged >=18 years,22.2,1549,Physical Inactivity
2018,17031241100,Health Outcomes,Arthritis among adults aged >=18 years,11.9,3682,Arthritis
2018,17031081900,Health Outcomes,Current asthma among adults aged >=18 years,9.8,1053,Current Asthma
2017,17031030703,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,75.4,2830,Taking BP Medication
2018,17031221000,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,69.6,2923,Annual Checkup
2018,17031150800,Health Outcomes,Current asthma among adults aged >=18 years,8.9,5280,Current Asthma
2018,17031051400,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",32.0,2077,Core preventive services for older women
2018,17031050600,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,4.0,2071,Cancer (except skin)
2018,17031161100,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",67.4,1861,Colorectal Cancer Screening
2018,17031160300,Health Outcomes,Current asthma among adults aged >=18 years,8.4,3785,Current Asthma
2018,17031031400,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,77.1,5150,Dental Visit
2018,17031170900,Health Outcomes,Coronary heart disease among adults aged >=18 years,6.2,1713,Coronary Heart Disease
2018,17031070300,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",70.4,3367,Colorectal Cancer Screening
2018,17031081401,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,77.2,2279,Annual Checkup
2018,17031251400,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,16.6,3983,Diabetes
2018,17031190800,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,6.1,6632,COPD
2018,17031160400,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,8.2,4768,Diabetes
2018,17031150401,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 years,10.5,4793,Physical Health
2018,17031250800,Health Outcomes,Current asthma among adults aged >=18 years,12.8,2488,Current Asthma
2018,17031071300,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,29.0,3513,Sleep <7 hours
2018,17031062600,Health Outcomes,Stroke among adults aged >=18 years,0.9,2226,Stroke
2018,17031140800,Health Outcomes,Coronary heart disease among adults aged >=18 years,4.0,6825,Coronary Heart Disease
2018,17031063301,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,5.0,2641,Diabetes
2018,17031230800,Health Outcomes,Chronic kidney disease among adults aged >=18 years,3.0,1314,Chronic Kidney Disease
2018,17031010100,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 years,11.9,4854,Physical Health
2018,17031010300,Health Outcomes,Stroke among adults aged >=18 years,3.5,6236,Stroke
2017,17031191200,Health Outcomes,High blood pressure among adults aged >=18 years,25.4,3853,High Blood Pressure
2018,17031231500,Health Outcomes,Chronic kidney disease among adults aged >=18 years,4.7,6039,Chronic Kidney Disease
2017,17031040700,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,62.0,3123,Taking BP Medication
2018,17031071500,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",40.5,5768,Core preventive services for older men
2018,17031063303,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,11.4,1201,Cancer (except skin)
2018,17031251800,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",17.8,5112,Core preventive services for older men
2018,17031061800,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",36.6,1112,Core preventive services for older men
2018,17031251900,Health Outcomes,Current asthma among adults aged >=18 years,14.3,5731,Current Asthma
2018,17031031900,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,33.0,2304,Sleep <7 hours
